ID,Resume_str,Resume_html,Category
27,"Mechanical Engineer professional with 4 years of experience in CAD tools, AutoCAD, and SolidWorks.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>CAD tools</i>, <i>AutoCAD</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
28,"Marketing professional with 3 years of experience in SEO, content creation, and social media.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEO</i>, <i>content creation</i>, and <i>social media</i>.</p>",Marketing
29,"Marketing professional with 5 years of experience in SEO, content creation, and SEM.","<p>Marketing professional with <b>5 years</b> of experience in <i>SEO</i>, <i>content creation</i>, and <i>SEM</i>.</p>",Marketing
30,"HR professional with 4 years of experience in HR policies, onboarding, and conflict resolution.","<p>HR professional with <b>4 years</b> of experience in <i>HR policies</i>, <i>onboarding</i>, and <i>conflict resolution</i>.</p>",HR
31,"Software Engineer professional with 6 years of experience in algorithms, Node.js, and data structures.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>algorithms</i>, <i>Node.js</i>, and <i>data structures</i>.</p>",Software Engineer
32,"Business Analyst professional with 5 years of experience in SQL, Power BI, and Excel.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>SQL</i>, <i>Power BI</i>, and <i>Excel</i>.</p>",Business Analyst
33,"HR professional with 4 years of experience in onboarding, talent acquisition, and HR policies.","<p>HR professional with <b>4 years</b> of experience in <i>onboarding</i>, <i>talent acquisition</i>, and <i>HR policies</i>.</p>",HR
34,"Mechanical Engineer professional with 2 years of experience in thermodynamics, CAD tools, and AutoCAD.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>thermodynamics</i>, <i>CAD tools</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
35,"HR professional with 6 years of experience in HR policies, talent acquisition, and employee engagement.","<p>HR professional with <b>6 years</b> of experience in <i>HR policies</i>, <i>talent acquisition</i>, and <i>employee engagement</i>.</p>",HR
36,"Business Analyst professional with 3 years of experience in data interpretation, dashboard reporting, and SQL.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>data interpretation</i>, <i>dashboard reporting</i>, and <i>SQL</i>.</p>",Business Analyst
37,"HR professional with 1 years of experience in HR policies, onboarding, and conflict resolution.","<p>HR professional with <b>1 years</b> of experience in <i>HR policies</i>, <i>onboarding</i>, and <i>conflict resolution</i>.</p>",HR
38,"Mechanical Engineer professional with 2 years of experience in quality inspection, thermodynamics, and manufacturing processes.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>quality inspection</i>, <i>thermodynamics</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
39,"Mechanical Engineer professional with 7 years of experience in CAD tools, SolidWorks, and quality inspection.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>CAD tools</i>, <i>SolidWorks</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
40,"Software Engineer professional with 1 years of experience in MongoDB, Python, and backend development.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>MongoDB</i>, <i>Python</i>, and <i>backend development</i>.</p>",Software Engineer
41,"HR professional with 6 years of experience in recruitment, employee engagement, and talent acquisition.","<p>HR professional with <b>6 years</b> of experience in <i>recruitment</i>, <i>employee engagement</i>, and <i>talent acquisition</i>.</p>",HR
42,"Marketing professional with 1 years of experience in digital campaigns, SEM, and social media.","<p>Marketing professional with <b>1 years</b> of experience in <i>digital campaigns</i>, <i>SEM</i>, and <i>social media</i>.</p>",Marketing
43,"HR professional with 1 years of experience in conflict resolution, HR policies, and recruitment.","<p>HR professional with <b>1 years</b> of experience in <i>conflict resolution</i>, <i>HR policies</i>, and <i>recruitment</i>.</p>",HR
44,"Software Engineer professional with 4 years of experience in data structures, Java, and backend development.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>data structures</i>, <i>Java</i>, and <i>backend development</i>.</p>",Software Engineer
45,"Software Engineer professional with 7 years of experience in MongoDB, data structures, and Node.js.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>MongoDB</i>, <i>data structures</i>, and <i>Node.js</i>.</p>",Software Engineer
46,"Software Engineer professional with 2 years of experience in MongoDB, Node.js, and algorithms.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>MongoDB</i>, <i>Node.js</i>, and <i>algorithms</i>.</p>",Software Engineer
47,"Software Engineer professional with 1 years of experience in data structures, Node.js, and algorithms.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>data structures</i>, <i>Node.js</i>, and <i>algorithms</i>.</p>",Software Engineer
48,"Marketing professional with 2 years of experience in analytics, SEO, and content creation.","<p>Marketing professional with <b>2 years</b> of experience in <i>analytics</i>, <i>SEO</i>, and <i>content creation</i>.</p>",Marketing
49,"Business Analyst professional with 3 years of experience in Excel, client communication, and dashboard reporting.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>Excel</i>, <i>client communication</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
50,"Software Engineer professional with 1 years of experience in Java, data structures, and Python.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>Java</i>, <i>data structures</i>, and <i>Python</i>.</p>",Software Engineer
51,"Marketing professional with 4 years of experience in SEM, analytics, and social media.","<p>Marketing professional with <b>4 years</b> of experience in <i>SEM</i>, <i>analytics</i>, and <i>social media</i>.</p>",Marketing
52,"Mechanical Engineer professional with 4 years of experience in CAD tools, manufacturing processes, and AutoCAD.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>CAD tools</i>, <i>manufacturing processes</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
53,"Mechanical Engineer professional with 1 years of experience in thermodynamics, quality inspection, and SolidWorks.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>thermodynamics</i>, <i>quality inspection</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
54,"Software Engineer professional with 6 years of experience in data structures, algorithms, and Java.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>data structures</i>, <i>algorithms</i>, and <i>Java</i>.</p>",Software Engineer
55,"Business Analyst professional with 2 years of experience in data interpretation, Excel, and dashboard reporting.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>data interpretation</i>, <i>Excel</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
56,"Software Engineer professional with 6 years of experience in Java, algorithms, and Python.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>Java</i>, <i>algorithms</i>, and <i>Python</i>.</p>",Software Engineer
57,"Mechanical Engineer professional with 4 years of experience in AutoCAD, thermodynamics, and CAD tools.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>AutoCAD</i>, <i>thermodynamics</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
58,"Mechanical Engineer professional with 7 years of experience in quality inspection, manufacturing processes, and AutoCAD.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>quality inspection</i>, <i>manufacturing processes</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
59,"Software Engineer professional with 3 years of experience in Java, Python, and MongoDB.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>Java</i>, <i>Python</i>, and <i>MongoDB</i>.</p>",Software Engineer
60,"Marketing professional with 5 years of experience in social media, content creation, and SEM.","<p>Marketing professional with <b>5 years</b> of experience in <i>social media</i>, <i>content creation</i>, and <i>SEM</i>.</p>",Marketing
61,"Business Analyst professional with 2 years of experience in dashboard reporting, SQL, and Excel.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>dashboard reporting</i>, <i>SQL</i>, and <i>Excel</i>.</p>",Business Analyst
62,"Marketing professional with 1 years of experience in digital campaigns, analytics, and SEO.","<p>Marketing professional with <b>1 years</b> of experience in <i>digital campaigns</i>, <i>analytics</i>, and <i>SEO</i>.</p>",Marketing
63,"Business Analyst professional with 5 years of experience in Excel, dashboard reporting, and data interpretation.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Excel</i>, <i>dashboard reporting</i>, and <i>data interpretation</i>.</p>",Business Analyst
64,"Software Engineer professional with 7 years of experience in Java, algorithms, and MongoDB.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>Java</i>, <i>algorithms</i>, and <i>MongoDB</i>.</p>",Software Engineer
65,"Mechanical Engineer professional with 7 years of experience in AutoCAD, manufacturing processes, and CAD tools.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>AutoCAD</i>, <i>manufacturing processes</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
66,"Software Engineer professional with 4 years of experience in MongoDB, Python, and data structures.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>MongoDB</i>, <i>Python</i>, and <i>data structures</i>.</p>",Software Engineer
67,"Software Engineer professional with 3 years of experience in algorithms, data structures, and backend development.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>algorithms</i>, <i>data structures</i>, and <i>backend development</i>.</p>",Software Engineer
68,"Mechanical Engineer professional with 5 years of experience in thermodynamics, quality inspection, and CAD tools.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>thermodynamics</i>, <i>quality inspection</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
69,"HR professional with 6 years of experience in onboarding, conflict resolution, and talent acquisition.","<p>HR professional with <b>6 years</b> of experience in <i>onboarding</i>, <i>conflict resolution</i>, and <i>talent acquisition</i>.</p>",HR
70,"Mechanical Engineer professional with 4 years of experience in AutoCAD, thermodynamics, and quality inspection.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>AutoCAD</i>, <i>thermodynamics</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
71,"Mechanical Engineer professional with 6 years of experience in AutoCAD, CAD tools, and quality inspection.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>AutoCAD</i>, <i>CAD tools</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
72,"Marketing professional with 6 years of experience in analytics, social media, and SEO.","<p>Marketing professional with <b>6 years</b> of experience in <i>analytics</i>, <i>social media</i>, and <i>SEO</i>.</p>",Marketing
73,"HR professional with 1 years of experience in employee engagement, conflict resolution, and onboarding.","<p>HR professional with <b>1 years</b> of experience in <i>employee engagement</i>, <i>conflict resolution</i>, and <i>onboarding</i>.</p>",HR
74,"Marketing professional with 5 years of experience in analytics, SEM, and social media.","<p>Marketing professional with <b>5 years</b> of experience in <i>analytics</i>, <i>SEM</i>, and <i>social media</i>.</p>",Marketing
75,"Software Engineer professional with 6 years of experience in algorithms, Node.js, and Java.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>algorithms</i>, <i>Node.js</i>, and <i>Java</i>.</p>",Software Engineer
76,"Business Analyst professional with 2 years of experience in Power BI, client communication, and Excel.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>Power BI</i>, <i>client communication</i>, and <i>Excel</i>.</p>",Business Analyst
77,"Software Engineer professional with 3 years of experience in MongoDB, Python, and backend development.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>MongoDB</i>, <i>Python</i>, and <i>backend development</i>.</p>",Software Engineer
78,"Software Engineer professional with 3 years of experience in Python, MongoDB, and Java.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>Python</i>, <i>MongoDB</i>, and <i>Java</i>.</p>",Software Engineer
79,"Marketing professional with 5 years of experience in SEM, digital campaigns, and SEO.","<p>Marketing professional with <b>5 years</b> of experience in <i>SEM</i>, <i>digital campaigns</i>, and <i>SEO</i>.</p>",Marketing
80,"Mechanical Engineer professional with 5 years of experience in SolidWorks, quality inspection, and manufacturing processes.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>SolidWorks</i>, <i>quality inspection</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
81,"HR professional with 2 years of experience in recruitment, HR policies, and conflict resolution.","<p>HR professional with <b>2 years</b> of experience in <i>recruitment</i>, <i>HR policies</i>, and <i>conflict resolution</i>.</p>",HR
82,"Marketing professional with 5 years of experience in SEO, SEM, and digital campaigns.","<p>Marketing professional with <b>5 years</b> of experience in <i>SEO</i>, <i>SEM</i>, and <i>digital campaigns</i>.</p>",Marketing
83,"Business Analyst professional with 6 years of experience in dashboard reporting, Excel, and SQL.","<p>Business Analyst professional with <b>6 years</b> of experience in <i>dashboard reporting</i>, <i>Excel</i>, and <i>SQL</i>.</p>",Business Analyst
84,"HR professional with 5 years of experience in HR policies, onboarding, and recruitment.","<p>HR professional with <b>5 years</b> of experience in <i>HR policies</i>, <i>onboarding</i>, and <i>recruitment</i>.</p>",HR
85,"Marketing professional with 2 years of experience in social media, content creation, and SEO.","<p>Marketing professional with <b>2 years</b> of experience in <i>social media</i>, <i>content creation</i>, and <i>SEO</i>.</p>",Marketing
86,"Mechanical Engineer professional with 4 years of experience in quality inspection, thermodynamics, and manufacturing processes.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>quality inspection</i>, <i>thermodynamics</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
87,"Marketing professional with 1 years of experience in SEM, social media, and content creation.","<p>Marketing professional with <b>1 years</b> of experience in <i>SEM</i>, <i>social media</i>, and <i>content creation</i>.</p>",Marketing
88,"Mechanical Engineer professional with 5 years of experience in CAD tools, SolidWorks, and AutoCAD.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>CAD tools</i>, <i>SolidWorks</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
89,"Marketing professional with 3 years of experience in SEM, digital campaigns, and SEO.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEM</i>, <i>digital campaigns</i>, and <i>SEO</i>.</p>",Marketing
90,"Marketing professional with 3 years of experience in SEM, digital campaigns, and analytics.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEM</i>, <i>digital campaigns</i>, and <i>analytics</i>.</p>",Marketing
91,"Mechanical Engineer professional with 5 years of experience in manufacturing processes, quality inspection, and thermodynamics.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>manufacturing processes</i>, <i>quality inspection</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
92,"Business Analyst professional with 1 years of experience in data interpretation, client communication, and Excel.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>data interpretation</i>, <i>client communication</i>, and <i>Excel</i>.</p>",Business Analyst
93,"Marketing professional with 3 years of experience in content creation, digital campaigns, and SEO.","<p>Marketing professional with <b>3 years</b> of experience in <i>content creation</i>, <i>digital campaigns</i>, and <i>SEO</i>.</p>",Marketing
94,"Software Engineer professional with 5 years of experience in Java, backend development, and Node.js.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>Java</i>, <i>backend development</i>, and <i>Node.js</i>.</p>",Software Engineer
95,"Marketing professional with 5 years of experience in digital campaigns, SEO, and analytics.","<p>Marketing professional with <b>5 years</b> of experience in <i>digital campaigns</i>, <i>SEO</i>, and <i>analytics</i>.</p>",Marketing
96,"Mechanical Engineer professional with 1 years of experience in thermodynamics, manufacturing processes, and quality inspection.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>thermodynamics</i>, <i>manufacturing processes</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
97,"Software Engineer professional with 5 years of experience in backend development, MongoDB, and data structures.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>backend development</i>, <i>MongoDB</i>, and <i>data structures</i>.</p>",Software Engineer
98,"HR professional with 5 years of experience in employee engagement, HR policies, and talent acquisition.","<p>HR professional with <b>5 years</b> of experience in <i>employee engagement</i>, <i>HR policies</i>, and <i>talent acquisition</i>.</p>",HR
99,"Software Engineer professional with 2 years of experience in Java, Python, and MongoDB.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>Java</i>, <i>Python</i>, and <i>MongoDB</i>.</p>",Software Engineer
100,"Business Analyst professional with 5 years of experience in Excel, Power BI, and data interpretation.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Excel</i>, <i>Power BI</i>, and <i>data interpretation</i>.</p>",Business Analyst
101,"HR professional with 6 years of experience in recruitment, conflict resolution, and onboarding.","<p>HR professional with <b>6 years</b> of experience in <i>recruitment</i>, <i>conflict resolution</i>, and <i>onboarding</i>.</p>",HR
102,"Business Analyst professional with 5 years of experience in Power BI, client communication, and dashboard reporting.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Power BI</i>, <i>client communication</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
103,"Software Engineer professional with 7 years of experience in backend development, Java, and Python.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>backend development</i>, <i>Java</i>, and <i>Python</i>.</p>",Software Engineer
104,"Mechanical Engineer professional with 7 years of experience in SolidWorks, CAD tools, and AutoCAD.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>SolidWorks</i>, <i>CAD tools</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
105,"HR professional with 7 years of experience in talent acquisition, onboarding, and employee engagement.","<p>HR professional with <b>7 years</b> of experience in <i>talent acquisition</i>, <i>onboarding</i>, and <i>employee engagement</i>.</p>",HR
106,"Business Analyst professional with 1 years of experience in dashboard reporting, Power BI, and Excel.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>dashboard reporting</i>, <i>Power BI</i>, and <i>Excel</i>.</p>",Business Analyst
107,"HR professional with 5 years of experience in talent acquisition, employee engagement, and recruitment.","<p>HR professional with <b>5 years</b> of experience in <i>talent acquisition</i>, <i>employee engagement</i>, and <i>recruitment</i>.</p>",HR
108,"Marketing professional with 4 years of experience in content creation, analytics, and SEO.","<p>Marketing professional with <b>4 years</b> of experience in <i>content creation</i>, <i>analytics</i>, and <i>SEO</i>.</p>",Marketing
109,"HR professional with 7 years of experience in onboarding, talent acquisition, and HR policies.","<p>HR professional with <b>7 years</b> of experience in <i>onboarding</i>, <i>talent acquisition</i>, and <i>HR policies</i>.</p>",HR
110,"Business Analyst professional with 1 years of experience in Power BI, SQL, and data interpretation.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>Power BI</i>, <i>SQL</i>, and <i>data interpretation</i>.</p>",Business Analyst
111,"Software Engineer professional with 4 years of experience in algorithms, MongoDB, and backend development.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>algorithms</i>, <i>MongoDB</i>, and <i>backend development</i>.</p>",Software Engineer
112,"Marketing professional with 6 years of experience in SEO, SEM, and analytics.","<p>Marketing professional with <b>6 years</b> of experience in <i>SEO</i>, <i>SEM</i>, and <i>analytics</i>.</p>",Marketing
113,"Marketing professional with 1 years of experience in SEO, content creation, and social media.","<p>Marketing professional with <b>1 years</b> of experience in <i>SEO</i>, <i>content creation</i>, and <i>social media</i>.</p>",Marketing
114,"Marketing professional with 3 years of experience in content creation, social media, and analytics.","<p>Marketing professional with <b>3 years</b> of experience in <i>content creation</i>, <i>social media</i>, and <i>analytics</i>.</p>",Marketing
115,"Software Engineer professional with 7 years of experience in Python, data structures, and MongoDB.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>Python</i>, <i>data structures</i>, and <i>MongoDB</i>.</p>",Software Engineer
116,"Business Analyst professional with 6 years of experience in SQL, data interpretation, and Excel.","<p>Business Analyst professional with <b>6 years</b> of experience in <i>SQL</i>, <i>data interpretation</i>, and <i>Excel</i>.</p>",Business Analyst
117,"HR professional with 7 years of experience in recruitment, conflict resolution, and talent acquisition.","<p>HR professional with <b>7 years</b> of experience in <i>recruitment</i>, <i>conflict resolution</i>, and <i>talent acquisition</i>.</p>",HR
118,"Business Analyst professional with 7 years of experience in client communication, dashboard reporting, and Power BI.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>client communication</i>, <i>dashboard reporting</i>, and <i>Power BI</i>.</p>",Business Analyst
119,"Software Engineer professional with 6 years of experience in Node.js, Java, and MongoDB.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>Node.js</i>, <i>Java</i>, and <i>MongoDB</i>.</p>",Software Engineer
120,"Software Engineer professional with 4 years of experience in Python, algorithms, and Java.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Python</i>, <i>algorithms</i>, and <i>Java</i>.</p>",Software Engineer
121,"HR professional with 1 years of experience in HR policies, onboarding, and employee engagement.","<p>HR professional with <b>1 years</b> of experience in <i>HR policies</i>, <i>onboarding</i>, and <i>employee engagement</i>.</p>",HR
122,"Business Analyst professional with 7 years of experience in client communication, Power BI, and dashboard reporting.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>client communication</i>, <i>Power BI</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
123,"HR professional with 1 years of experience in recruitment, onboarding, and employee engagement.","<p>HR professional with <b>1 years</b> of experience in <i>recruitment</i>, <i>onboarding</i>, and <i>employee engagement</i>.</p>",HR
124,"Mechanical Engineer professional with 7 years of experience in manufacturing processes, CAD tools, and quality inspection.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>manufacturing processes</i>, <i>CAD tools</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
125,"Business Analyst professional with 2 years of experience in Power BI, Excel, and dashboard reporting.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>Power BI</i>, <i>Excel</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
126,"Software Engineer professional with 7 years of experience in algorithms, data structures, and Python.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>algorithms</i>, <i>data structures</i>, and <i>Python</i>.</p>",Software Engineer
127,"Marketing professional with 7 years of experience in content creation, SEM, and analytics.","<p>Marketing professional with <b>7 years</b> of experience in <i>content creation</i>, <i>SEM</i>, and <i>analytics</i>.</p>",Marketing
128,"Marketing professional with 1 years of experience in SEO, analytics, and content creation.","<p>Marketing professional with <b>1 years</b> of experience in <i>SEO</i>, <i>analytics</i>, and <i>content creation</i>.</p>",Marketing
129,"Software Engineer professional with 4 years of experience in data structures, Python, and MongoDB.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>data structures</i>, <i>Python</i>, and <i>MongoDB</i>.</p>",Software Engineer
130,"Business Analyst professional with 3 years of experience in data interpretation, client communication, and dashboard reporting.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>data interpretation</i>, <i>client communication</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
