ID,JobDescription,Department
312,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
313,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
314,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
315,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
316,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
317,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
318,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
319,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
320,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
321,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
322,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
323,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
324,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
325,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
326,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
327,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
328,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
329,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
330,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
331,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
332,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
333,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
334,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
335,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
336,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
337,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
338,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
339,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
340,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
341,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
342,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
343,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
344,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
345,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
346,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
347,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
348,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
349,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
350,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
351,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
352,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
353,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
354,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
355,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
356,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
357,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
358,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
359,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
360,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
361,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
362,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
363,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
364,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
365,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
366,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
367,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
368,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
369,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
370,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
371,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
372,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
373,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
374,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
375,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
376,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
377,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
378,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
379,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
380,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
381,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
382,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
383,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
384,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
385,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
386,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
387,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
388,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
389,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
390,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
391,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
392,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
393,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
394,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
395,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
396,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
397,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
398,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
